 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0
 ip : 54.71.187.124 || 2020-6-12 ----> 07:59:59

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0
 ip : 54.71.187.124 || 2020-6-12 ----> 08:03:22

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0
 ip : 54.71.187.124 || 2020-6-12 ----> 08:16:45

 BLOCKED BOT INDEX || user-agent : Mozilla/5.0 (iPad; CPU OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B14 3 Safari/601.1
 ip : 185.187.30.13 || 2020-6-12 ----> 08:26:22

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36
 ip : 54.71.187.124 || 2020-6-12 ----> 08:32:28

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36
 ip : 34.220.153.138 || 2020-6-12 ----> 08:53:34

 BLOCKED BOT INDEX || user-agent : Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36
 ip : 185.187.30.14 || 2020-6-12 ----> 08:53:51

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
 ip : 107.172.183.184 || 2020-6-12 ----> 08:54:12

 BLOCKED BY IP || user-agent : Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30
 ip : 208.87.233.140 || 2020-6-12 ----> 08:54:30

 BLOCKED BY IP || user-agent : Mozilla/5.0 (Windows NT 5.1) Gecko/20100101 Firefox/4.0.1
 ip : 208.87.233.140 || 2020-6-12 ----> 08:54:31

 BLOCKED BOT INDEX || user-agent : Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36
 ip : 185.187.30.14 || 2020-6-12 ----> 08:56:14

 BLOCKED ISP || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36
 ip : 65.154.226.100 || 2020-6-12 ----> 09:01:28

 BLOCKED ISP || user-agent : Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36
 ip : 65.154.226.100 || 2020-6-12 ----> 09:02:43

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
 ip : 23.94.145.255 || 2020-6-12 ----> 09:05:51

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36
 ip : 77.52.179.5 || 2020-6-12 ----> 09:08:39

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36
 ip : 105.187.240.6 || 2020-6-12 ----> 09:08:59

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
 ip : 45.79.177.66 || 2020-6-12 ----> 09:36:21

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
 ip : 45.79.177.66 || 2020-6-12 ----> 09:36:22

 BLOCKED BOT INDEX || user-agent : Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36
 ip : 185.187.30.14 || 2020-6-12 ----> 09:53:58

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
 ip : 107.172.183.132 || 2020-6-12 ----> 09:54:19

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
 ip : 45.79.177.66 || 2020-6-12 ----> 10:06:09

 BLOCKED BY HOSTNAME || user-agent : Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
 ip : 45.79.177.66 || 2020-6-12 ----> 10:06:09

 BLOCKED BY IP BLACKLIST || user-agent : Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
 ip : 157.55.169.185 || 2020-6-12 ----> 10:08:05

